local_date,target_max_temp,temperature_2m_min,temperature_2m_max,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_mean,wind_speed_10m_max,precipitation_sum,cloud_cover_mean
2024-06-25,26.0,10.9,25.4,18.395833333333332,59.166666666666664,2.3925,3.34,0.0,9.291666666666666
2024-06-26,19.0,13.6,18.8,16.150000000000002,73.70833333333333,3.4933333333333336,5.94,0.0,78.16666666666667
2024-06-27,18.0,12.5,17.3,14.329166666666666,83.58333333333333,2.8329166666666663,3.97,0.1,97.45833333333333
2024-06-28,22.0,12.1,21.0,16.166666666666668,70.79166666666667,1.505,2.37,0.0,63.458333333333336
2024-06-29,23.0,13.4,23.4,18.320833333333333,65.58333333333333,1.7820833333333332,2.78,0.0,63.208333333333336
2024-06-30,24.0,15.4,23.9,18.808333333333334,75.83333333333333,2.1141666666666667,3.42,0.0,72.125
2024-07-01,24.0,16.2,23.8,19.041666666666668,71.33333333333333,1.3304166666666666,2.62,0.0,74.95833333333333
2024-07-02,21.0,12.0,21.2,16.254166666666666,73.04166666666667,1.98375,2.86,0.0,42.416666666666664
2024-07-03,24.0,11.9,23.6,17.349999999999998,69.66666666666667,1.7579166666666666,2.79,0.0,47.541666666666664
2024-07-04,28.0,13.2,27.2,20.433333333333334,56.291666666666664,2.6283333333333334,4.32,0.0,0.16666666666666666
2024-07-05,31.0,14.1,30.8,23.025000000000002,46.583333333333336,2.205416666666667,4.1,0.0,0.0
2024-07-06,32.0,16.1,31.3,24.46666666666667,41.125,2.1558333333333333,4.1,0.0,0.0
2024-07-07,33.0,16.6,33.1,25.420833333333334,42.208333333333336,1.5599999999999998,2.83,0.0,0.125
2024-07-08,34.0,18.9,34.1,27.3125,38.791666666666664,2.025,3.72,0.0,0.0
2024-07-09,36.0,18.9,36.0,27.579166666666666,40.166666666666664,1.8995833333333332,3.3,0.0,0.20833333333333334
2024-07-10,31.0,17.1,30.1,23.825,47.875,2.4908333333333332,3.77,0.0,0.7083333333333334
2024-07-11,27.0,15.2,27.6,21.40833333333333,56.875,2.1616666666666666,3.41,0.0,2.5416666666666665
